Timestamp,ADC_Value,Voltage_mV
2026-07-27 14:26:44.575,339,1656.891
2026-07-27 14:26:44.617,341,1666.667
2026-07-27 14:26:44.617,334,1632.454
2026-07-27 14:26:44.617,330,1612.903
2026-07-27 14:26:44.617,332,1622.678
2026-07-27 14:26:44.617,337,1647.116
2026-07-27 14:26:44.618,341,1666.667
2026-07-27 14:26:44.618,339,1656.891
2026-07-27 14:26:44.625,337,1647.116
2026-07-27 14:26:44.625,339,1656.891
2026-07-27 14:26:44.627,340,1661.779
2026-07-27 14:26:44.663,341,1666.667
2026-07-27 14:26:44.663,342,1671.554
2026-07-27 14:26:44.664,343,1676.442
2026-07-27 14:26:44.664,344,1681.329
2026-07-27 14:26:44.664,343,1676.442
2026-07-27 14:26:44.664,344,1681.329
2026-07-27 14:26:44.664,347,1695.992
2026-07-27 14:26:44.668,350,1710.655
2026-07-27 14:26:44.710,355,1735.093
2026-07-27 14:26:44.710,353,1725.318
2026-07-27 14:26:44.710,354,1730.205
2026-07-27 14:26:44.711,359,1754.643
2026-07-27 14:26:44.711,365,1783.969
2026-07-27 14:26:44.711,369,1803.519
2026-07-27 14:26:44.711,374,1827.957
2026-07-27 14:26:44.715,379,1852.395
2026-07-27 14:26:44.716,389,1901.271
2026-07-27 14:26:44.757,399,1950.147
2026-07-27 14:26:44.757,411,2008.798
2026-07-27 14:26:44.757,419,2047.898
2026-07-27 14:26:44.757,425,2077.224
2026-07-27 14:26:44.757,430,2101.662
2026-07-27 14:26:44.757,435,2126.1
2026-07-27 14:26:44.758,436,2130.987
2026-07-27 14:26:44.758,431,2106.549
2026-07-27 14:26:44.762,419,2047.898
2026-07-27 14:26:44.804,401,1959.922
2026-07-27 14:26:44.804,380,1857.283
2026-07-27 14:26:44.805,361,1764.418
2026-07-27 14:26:44.805,346,1691.105
2026-07-27 14:26:44.805,332,1622.678
2026-07-27 14:26:44.805,319,1559.14
2026-07-27 14:26:44.805,310,1515.152
2026-07-27 14:26:44.807,305,1490.714
2026-07-27 14:26:44.809,301,1471.163
2026-07-27 14:26:44.851,298,1456.5
2026-07-27 14:26:44.851,294,1436.95
2026-07-27 14:26:44.851,291,1422.287
2026-07-27 14:26:44.851,292,1427.175
2026-07-27 14:26:44.851,293,1432.063
2026-07-27 14:26:44.851,293,1432.063
2026-07-27 14:26:44.852,293,1432.063
2026-07-27 14:26:44.852,295,1441.838
2026-07-27 14:26:44.855,297,1451.613
2026-07-27 14:26:44.897,299,1461.388
2026-07-27 14:26:44.897,298,1456.5
2026-07-27 14:26:44.897,300,1466.276
2026-07-27 14:26:44.898,302,1476.051
2026-07-27 14:26:44.898,304,1485.826
2026-07-27 14:26:44.898,303,1480.938
2026-07-27 14:26:44.898,302,1476.051
2026-07-27 14:26:44.898,304,1485.826
2026-07-27 14:26:44.902,306,1495.601
2026-07-27 14:26:44.943,306,1495.601
2026-07-27 14:26:44.944,306,1495.601
2026-07-27 14:26:44.944,306,1495.601
2026-07-27 14:26:44.944,307,1500.489
2026-07-27 14:26:44.944,309,1510.264
2026-07-27 14:26:44.944,311,1520.039
2026-07-27 14:26:44.944,309,1510.264
2026-07-27 14:26:44.944,308,1505.376
2026-07-27 14:26:44.974,309,1510.264
2026-07-27 14:26:44.975,309,1510.264
2026-07-27 14:26:44.975,310,1515.152
2026-07-27 14:26:44.975,311,1520.039
2026-07-27 14:26:44.979,311,1520.039
2026-07-27 14:26:44.979,310,1515.152
2026-07-27 14:26:44.980,311,1520.039
2026-07-27 14:26:45.021,311,1520.039
2026-07-27 14:26:45.021,311,1520.039
2026-07-27 14:26:45.021,312,1524.927
2026-07-27 14:26:45.021,313,1529.814
2026-07-27 14:26:45.022,314,1534.702
2026-07-27 14:26:45.022,313,1529.814
2026-07-27 14:26:45.022,314,1534.702
2026-07-27 14:26:45.022,316,1544.477
2026-07-27 14:26:45.068,315,1539.589
2026-07-27 14:26:45.069,316,1544.477
2026-07-27 14:26:45.069,316,1544.477
2026-07-27 14:26:45.069,315,1539.589
2026-07-27 14:26:45.069,315,1539.589
2026-07-27 14:26:45.069,315,1539.589
2026-07-27 14:26:45.069,315,1539.589
2026-07-27 14:26:45.070,315,1539.589
2026-07-27 14:26:45.070,317,1549.365
2026-07-27 14:26:45.100,317,1549.365
2026-07-27 14:26:45.100,316,1544.477
2026-07-27 14:26:45.100,316,1544.477
2026-07-27 14:26:45.100,318,1554.252
2026-07-27 14:26:45.100,317,1549.365
2026-07-27 14:26:45.101,316,1544.477
2026-07-27 14:26:45.130,317,1549.365
2026-07-27 14:26:45.131,320,1564.027
2026-07-27 14:26:45.131,318,1554.252
2026-07-27 14:26:45.131,317,1549.365
2026-07-27 14:26:45.131,318,1554.252
2026-07-27 14:26:45.135,321,1568.915
2026-07-27 14:26:45.137,320,1564.027
2026-07-27 14:26:45.177,320,1564.027
2026-07-27 14:26:45.177,318,1554.252
2026-07-27 14:26:45.177,318,1554.252
2026-07-27 14:26:45.178,320,1564.027
2026-07-27 14:26:45.178,323,1578.69
2026-07-27 14:26:45.178,324,1583.578
2026-07-27 14:26:45.178,324,1583.578
2026-07-27 14:26:45.178,323,1578.69
2026-07-27 14:26:45.208,323,1578.69
2026-07-27 14:26:45.208,322,1573.803
2026-07-27 14:26:45.208,323,1578.69
2026-07-27 14:26:45.208,325,1588.465
2026-07-27 14:26:45.209,327,1598.24
2026-07-27 14:26:45.209,326,1593.353
2026-07-27 14:26:45.240,326,1593.353
2026-07-27 14:26:45.240,328,1603.128
2026-07-27 14:26:45.240,329,1608.016
2026-07-27 14:26:45.240,328,1603.128
2026-07-27 14:26:45.240,328,1603.128
2026-07-27 14:26:45.240,330,1612.903
2026-07-27 14:26:45.270,330,1612.903
2026-07-27 14:26:45.271,329,1608.016
2026-07-27 14:26:45.271,328,1603.128
2026-07-27 14:26:45.271,329,1608.016
2026-07-27 14:26:45.271,329,1608.016
2026-07-27 14:26:45.272,328,1603.128
2026-07-27 14:26:45.301,327,1598.24
2026-07-27 14:26:45.301,326,1593.353
2026-07-27 14:26:45.302,326,1593.353
2026-07-27 14:26:45.302,324,1583.578
2026-07-27 14:26:45.302,326,1593.353
2026-07-27 14:26:45.303,328,1603.128
2026-07-27 14:26:45.333,329,1608.016
2026-07-27 14:26:45.333,329,1608.016
2026-07-27 14:26:45.333,328,1603.128
2026-07-27 14:26:45.334,327,1598.24
2026-07-27 14:26:45.334,326,1593.353
2026-07-27 14:26:45.339,326,1593.353
2026-07-27 14:26:45.340,328,1603.128
2026-07-27 14:26:45.379,329,1608.016
2026-07-27 14:26:45.379,331,1617.791
2026-07-27 14:26:45.379,333,1627.566
2026-07-27 14:26:45.380,337,1647.116
2026-07-27 14:26:45.380,339,1656.891
2026-07-27 14:26:45.380,341,1666.667
